Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.9075075965315349,0.0,0.0,0.0,0.5291426183895049
Random Forest,0.9067664715037427,0.1875,0.002403846153846154,0.004746835443037975,0.5160276041503072
Logistic Regression,0.5440598829022456,0.09484467944481163,0.4599358974358974,0.15726027397260273,0.5038911748385003
XGBoost,0.6718298376936189,0.09480122324159021,0.2980769230769231,0.14385150812064965,0.5031626265561036
